Model,URL,Price
"Apple iPhone 6 (Gold, 64 GB)",/apple-iphone-6-gold-64-gb/p/itmey3ndwjre2dgf?pid=MOBEYHZ2VSVKHAZH&srno=s_5_97&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2VSVKHAZHJBLAAE&fm=organic&iid=64cf127e-a1da-451f-9026-4afdf33f2ea4.MOBEYHZ2VSVKHAZH.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹25,999"
"Apple iPhone 6 (Silver, 16 GB)",/apple-iphone-6-silver-16-gb/p/itmey3ndwjre2dgf?pid=MOBEYHZ2NUZGCHKN&srno=s_5_98&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2NUZGCHKN7PMDIN&fm=organic&iid=8bb44d59-0ee0-4e50-b823-8104a53742b1.MOBEYHZ2NUZGCHKN.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹36,990"
"Apple iPhone 6 (Silver, 64 GB)",/apple-iphone-6-silver-64-gb/p/itmey3ndwjre2dgf?pid=MOBEYHZ2VRNZZ2J5&srno=s_5_99&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2VRNZZ2J5CTWBYU&fm=organic&iid=c10533fb-359b-4153-b81b-98465f03b44e.MOBEYHZ2VRNZZ2J5.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹43,000"
"Apple iPhone 6 Plus (Silver, 64 GB)",/apple-iphone-6-plus-silver-64-gb/p/itmffg4n8nkzfscq?pid=MOBEYHZ28ZYTRJYM&srno=s_5_100&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ28ZYTRJYMJKQZH8&fm=organic&iid=502696b2-0636-4939-96d6-89253c920a42.MOBEYHZ28ZYTRJYM.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹48,999"
"Apple iPhone 6 Plus (Gold, 128 GB)",/apple-iphone-6-plus-gold-128-gb/p/itmffg4n8nkzfscq?pid=MOBEYHZ2JRQ6UVYF&srno=s_5_101&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2JRQ6UVYFSMO9QW&fm=organic&iid=8861ae79-a395-4103-9c89-fb4c54c0726c.MOBEYHZ2JRQ6UVYF.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹59,999"
"Apple iPhone 6 Plus (Silver, 16 GB)",/apple-iphone-6-plus-silver-16-gb/p/itmffg4n8nkzfscq?pid=MOBEYHZ2YBFZTV3S&srno=s_5_102&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ2YBFZTV3S3XGP67&fm=organic&iid=108a9629-1123-4654-a5ac-5356826a4b6c.MOBEYHZ2YBFZTV3S.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹40,849"
"Apple iPhone 5C (Yellow, 32 GB)",/apple-iphone-5c-yellow-32-gb/p/itmffg4gdds5tf7d?pid=MOBDPNKCYZGGRQFR&srno=s_5_103&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDPNKCYZGGRQFR47GS8R&fm=organic&iid=17a717f1-74d9-407e-b63e-6abcb782d75a.MOBDPNKCYZGGRQFR.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹25,999"
"Apple IPhone 4 (Black, 8 GB)",/apple-iphone-4-black-8-gb/p/itmffg4kmdpfp9vn?pid=MOBDKMDBHTTXAHEN&srno=s_5_104&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDKMDBHTTXAHENNFHVFD&fm=organic&iid=505e802a-4f9d-4fb6-895b-f25b660f42eb.MOBDKMDBHTTXAHEN.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹22,900"
"Apple iPhone 5C (Yellow, 8 GB)",/apple-iphone-5c-yellow-8-gb/p/itmffg4gdds5tf7d?pid=MOBDWXZTVZGU2CTP&srno=s_5_105&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBDWXZTVZGU2CTPVVU61W&fm=organic&iid=287db1a4-1b2c-46ca-979b-ead967f128f8.MOBDWXZTVZGU2CTP.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹37,500"
"Apple iPhone 6 (Space Grey, 64 GB)",/apple-iphone-6-space-grey-64-gb/p/itme8gfcs2dhysgq?pid=MOBEYHZ28FRMNDCW&srno=s_5_106&otracker=AS_QueryStore_OrganicAutoSuggest_0_5&otracker1=AS_QueryStore_OrganicAutoSuggest_0_5&lid=LSTMOBEYHZ28FRMNDCWO9QQEN&fm=organic&iid=f4e1f428-eab5-42ec-b932-12b24a9a696c.MOBEYHZ28FRMNDCW.SEARCH&ppt=SearchPage&ppn=Search&qH=c848b7081ba96a14,"₹44,999"
